Категорія,Клас,Кількість,%,% кожного класу,Усього по категоріях
Самотні особи,1a Вдови і вдівці,0,0.0,0.0,
,"1b Нежонаті, або неокресленого цивільного стану",0,,0.0,0
Безструктурні,"2a Нежонаті брати і сестри, які живуть разом",0,0.0,0.0,
,"2b Інші кревні, які живуть разом",0,,0.0,0
Нуклеарні,3a Шлюбі пари без дітей,1,18.9,0.9,
,3b Шлюбні пари з дітьми,19,,17.1,
,3c Вдівці з дітьми,0,,0.0,
,3d Вдови з дітьми,1,,0.9,21
Розширені,4a Родини з висхідним розширенням,1,1.8,0.9,
,4b Родини з низхідним розширенням,0,,0.0,
,4c Родини з бічним розширенням,1,,0.9,
,4d Комбінація 4a-4c,0,,0.0,2
Мультифокальні,5a Родини з висхідними другорядними ядрами,1,79.3,0.9,
,5b Родини з низхідними другорядними ядрами,10,,9.0,
,5c Родини з бічними другорядними ядрами,7,,6.3,
,5d Братські родини,12,,10.8,
,5e Інші,58,,52.3,88
Усього,,111,100,100,111
